val_miou,val_loss
0.37590814,0.58178556
0.37590814,0.5957747
0.37590814,0.6421851
0.48909655,0.59426343
0.2146818,1.3829895
0.3759138,0.494076
0.46329176,0.4550237
0.40979496,0.4061381
0.37591663,0.8364681
0.63156027,0.36225328
0.4019587,0.38508934
0.9034181,0.16738686
0.94325805,0.13491344
0.9496299,0.069157846
0.94118327,0.07902776
0.9403459,0.12544921
0.9477344,0.069327146
0.9519402,0.07005514
0.9360449,0.08388637
0.95404,0.058347464
0.95342624,0.05728226
0.9506,0.05701096
0.948999,0.053854536
0.95397663,0.05095191
0.96099937,0.04508961
0.96157813,0.042900402
0.95906806,0.04859568
0.9629915,0.06310493
0.8801866,0.106730506
0.96761465,0.048454992
0.9633291,0.039786387
0.9441053,0.058807265
0.94360983,0.06617503
0.9212347,0.100035384
0.9596287,0.05079227
0.91652894,0.1006016
0.8757854,0.118951395
0.6685279,0.36782235
0.9364586,0.076336235
0.950372,0.05552212
0.94445574,0.057710063
0.95352626,0.051177286
0.9245572,0.08009131
0.96721244,0.036884867
0.95234996,0.05317105
0.9535303,0.050306667
0.9635558,0.043589562
0.96277577,0.048280343
0.76365054,0.19667503
0.9174472,0.08701469
0.9645771,0.04738015
0.5628529,0.7170243
0.9364916,0.08258745
0.963408,0.043209843
0.96764433,0.048662018
0.9243771,0.0785145
0.9599298,0.0452276
0.97068906,0.033481084
0.96949494,0.032001596
0.9162519,0.061220873
0.9696158,0.031151444
0.96946144,0.037066977
0.95636356,0.048134085
0.96501815,0.036807947
0.96497476,0.037590392
0.96552974,0.048630305
0.5860139,0.5858715
0.74209595,0.1870678
0.97118306,0.029766042
0.9657459,0.040903345
0.9731605,0.028834406
0.9730278,0.029976439
0.97146165,0.031480066
0.9682379,0.039121095
0.9674076,0.033606905
0.9356481,0.08425971
0.9654517,0.03904044
0.96784765,0.035334006
0.9667891,0.03546872
0.96857584,0.035251327
0.9729341,0.028247338
0.9676842,0.049777754
0.9418962,0.053688504
0.9734051,0.030203883
0.97358584,0.029536083
0.96656835,0.03677561
0.9711712,0.029663702
0.9429386,0.0509836
0.97022927,0.033006527
0.972484,0.02861627
0.9734839,0.02845202
0.96418643,0.037842426
0.96804774,0.03718247
0.9354136,0.08317696
0.9615822,0.039302476
0.95509017,0.056387406
0.9626919,0.03995643
0.97283185,0.028291408
0.96783954,0.033022426
0.9670899,0.04773473
0.9698094,0.031440932
0.97413546,0.027802255
0.9472097,0.063228704
0.9283145,0.07523719
0.95703864,0.04950089
0.9728961,0.032994423
0.9681902,0.033268794
0.970793,0.03206313
0.97245955,0.028614175
0.9718885,0.028954074
0.97339714,0.027103592
0.9722199,0.029438794
0.9688654,0.03204698
0.96213436,0.036065046
0.94944394,0.046080645
0.940943,0.051525734
0.97453374,0.026455462
0.9733585,0.032665577
0.97495234,0.026934057
0.9753251,0.025124758
0.97203517,0.02852797
0.9695159,0.03390991
0.97569525,0.024753947
0.96225893,0.044818245
0.9749489,0.027220761
0.9712281,0.038714964
0.9693023,0.03632449
0.9664539,0.038613435
0.9717151,0.032115795
0.9742912,0.028615236
0.97580177,0.026171084
0.9720773,0.034090925
0.9688448,0.03241131
0.97335494,0.0294399
0.97493374,0.025825402
0.9754877,0.02548327
0.9744248,0.02578201
0.9694377,0.032172203
0.97420275,0.026027685
0.9750744,0.028879628
0.9749304,0.025321614
0.9767142,0.023380164
0.9745777,0.03342429
0.97537833,0.025966167
0.97529083,0.026425043
0.97570586,0.024690561
0.9703031,0.03054491
0.9755684,0.025107842
0.97505444,0.028683037
0.97620726,0.024787914
0.97612846,0.02407733
0.9754522,0.029716548
0.97602427,0.026222086
0.9768276,0.023156047
0.97631204,0.022967355
0.97628033,0.023360567
0.9746407,0.024437094
0.97460353,0.025055861
0.9730977,0.027442425
0.9728643,0.027516585
0.9750974,0.025095776
0.97657585,0.023547614
0.9765382,0.023730293
0.97528535,0.025859054
0.9764979,0.029327622
0.9760171,0.025585076
0.97589904,0.027760645
0.9768472,0.02537123
0.9766253,0.026015177
0.9769455,0.024227204
0.97701204,0.02414347
0.97742057,0.022612896
0.9774126,0.022629973
0.9765402,0.023230629
0.9770149,0.022863064
0.97575146,0.024209356
0.9767044,0.023136536
0.9772614,0.022323333
0.97720504,0.022676807
0.977383,0.022308562
0.9770174,0.023080204
0.9755955,0.030300548
0.9755074,0.026514117
0.97604936,0.025081962
0.9770336,0.024022704
0.97728884,0.0228786
0.9774405,0.022944538
0.9775312,0.02380096
0.97786033,0.022292249
0.97759145,0.023227958
0.97741574,0.023160093
0.9773711,0.022847315
0.9775935,0.02264275
0.9772083,0.022813715
0.9773651,0.022681095
0.977388,0.022704992
0.97745764,0.02263047
0.97759867,0.022510156
0.9776902,0.022584712
0.9777669,0.02252099
